identifier_slug,field,temporal_scope,domain_category,knowledge_areas,body_of_knowledge_coverage,body_of_knowledge_details,earliest_historical_year,age_epoch_of_history,dependencies,interconnections,synergistic_relationships,evolutionary_pathways,knowledge_dependency_graph,non_western_knowledge_systems,indigenous_knowledge,alternative_epistemologies,cultural_variations,technological_advancements,space_exploration_implications,post_earth_civilization_needs,real_world_implementations,professional_practices,industry_standards,data_quality,data_source,last_updated,Column1,signal_icon,layer,epistemology,cultural_context,standardization,included_internet
space-engineering,Space Engineering,Current Knowledge,Applied Sciences,Aerospace Design; Propulsion Systems; Space Habitat Development,Yes,NASA Engineering Standards; ISO Aerospace Standards,-1957,Modern Era,Mechanical Engineering; Electrical Engineering,Astrophysics; Robotics,Space engineering integrates various engineering disciplines to design and develop technologies for space exploration and habitation.,"From spacecraft and propulsion systems to space habitats and life support, space engineering drives humanity's reach into the cosmos.","{\mechanical-engineering\"": [\""propulsion-systems\""]"," \""electrical-engineering\"": [\""space-habitat\""]}""",Early rocketry; Traditional navigation techniques,Indigenous star navigation and engineering practices,Systems engineering; Integrated design,"Space engineering practices vary globally, influenced by national space agencies and international collaborations.",Reusable rocket technology; Autonomous habitat systems,Essential for constructing and maintaining space colonies,Provides the necessary infrastructure and technology for sustaining life and operations off-Earth,Space agencies; Aerospace industry; Research institutions,Aerospace engineer; Systems engineer,NASA engineering standards; ISO aerospace standards,High,Engineering blueprints; Mission reports,4/27/2024,,Applied Sciences,"The study and application of engineering principles and techniques to design, build, launch, and maintain various types of spacecraft, satellites, and space systems, along with the understanding of the physical properties of the universe.",International Collaboration in Space Exploration,ISO (International Organization for Standardization) Standards in Space Systems and Operations,No
statistics,Statistics,Current Knowledge,Formal Sciences,Descriptive Statistics; Inferential Statistics; Bayesian Analysis,Yes,ISO Statistical Standards; ASA Guidelines,-500,Modern Era,Mathematics; Computer Science,Data Science; Economics,Statistics synergizes with data science and economics to analyze and interpret data for informed decision-making.,"From foundational probability theories to modern machine learning algorithms, statistics evolves to handle complex data and provide actionable insights.","{\mathematics\"": [\""computer-science\""]"," \""data-science\"": [\""economics\""]}""",Ancient Babylonian data recording; Indigenous quantitative methods,Traditional data collection and analysis practices of Indigenous communities,Empirical; Probabilistic,"Statistical practices vary globally, influenced by regional data needs and cultural approaches to data interpretation.",Advanced statistical software; AI-driven analytics platforms,Essential for analyzing data from space missions and extraterrestrial research,Enables efficient data management and decision-making for off-Earth operations,Tech industry; Finance; Healthcare,Statistician; Data analyst,ISO statistical standards; ASA guidelines,High,Statistical reports; Data repositories,4/27/2024,,Mathematics,Empirical,Quantitative Analysis of Cultural Trends,Z-Score,Yes/No
systems-biology,Systems Biology,Current Knowledge,Natural Sciences,Metabolic Networks; Cellular Pathways; Computational Modeling,Yes,ISO Systems Biology Standards; SBML Guidelines,-1990,Modern Era,Biology; Computer Science,Genetics; Bioinformatics,Systems biology integrates biology and computer science to model and understand complex biological systems.,"From mapping metabolic networks to developing computational models of cellular processes, systems biology advances our understanding of life at a systems level.","{\biology\"": [\""computer-science\""]"," \""genetics\"": [\""bioinformatics\""]}""",Traditional holistic biological approaches; Indigenous ecological interactions,Holistic biological understanding and ecosystem management of Indigenous communities,Integrative; Computational,"Systems biology practices vary globally, influenced by regional biological diversity and technological capabilities.",Advanced computational models; High-throughput data analysis tools,Essential for modeling extraterrestrial biological systems and sustaining life support in space,Enables comprehensive biological management and research for off-Earth ecosystems,Biotech industry; Healthcare; Research institutions,Systems biologist; Computational biologist,ISO systems biology standards; SBML guidelines,High,Biological models; Computational data,4/27/2024,,Science,Interdisciplinary,Interdisciplinary Science,BioPAX,Yes
systems-engineering,Systems Engineering,Current Knowledge,Applied Sciences,Systems Design; Systems Integration; Systems Optimization,Yes,INCOSE Systems Engineering Standards; ISO Systems Framework,-1950,Modern Era,Engineering; Computer Science,Project Management; Industrial Engineering,Systems engineering integrates engineering and project management to design and optimize complex systems.,"From early industrial systems to modern integrated and automated systems, systems engineering advances the design, integration, and optimization of complex projects.","{\engineering\"": [\""computer-science\""]"," \""project-management\"": [\""industrial-engineering\""]}""",Traditional organizational systems; Indigenous holistic management practices,Traditional systems and holistic management of Indigenous communities,Holistic; Analytical,"Systems engineering practices vary globally, influenced by regional industrial needs and cultural management styles.",Advanced simulation tools; Integrated project management software,Essential for designing and managing space habitats and infrastructure,Provides efficient and optimized systems for sustaining life and operations off-Earth,Engineering firms; Project management offices; Industrial sectors,Systems engineer; Project manager,INCOSE systems engineering standards; ISO systems framework,High,System designs; Project reports,4/27/2024,,Engineering,"Interdisciplinary, problem-solving, holistic approach, system lifecycle management, system design and modeling, system integration, risk management, decision-making process, requirements engineering, reliability, maintainability, and safety analysis.",Global Industrial Development,ISO/IEC 15288:2015,Yes
theology,Theology,Historical Knowledge,Humanities,Comparative Theology; Systematic Theology; Practical Theology,Yes,World Council of Churches Standards; Vatican Canon Law,-4000,Ancient Era,Philosophy; Religious Studies,Ethics; Cultural Studies,"Theology explores religious beliefs, practices, and the nature of the divine across various cultures and epochs.","From ancient spiritual traditions to modern theological debates, theology seeks to understand and interpret religious experiences and doctrines.","{\philosophy\"": [\""religious-studies\""]"," \""ethics\"": [\""cultural-studies\""]}""",Daoist spiritual practices; Indigenous religious traditions,Oral religious teachings and rituals of Indigenous communities,Faith-based; Rational,"Theological practices and beliefs vary globally, influenced by cultural contexts and historical developments.",Digital sacred texts; Virtual worship platforms,Provides spiritual support and ethical guidance for space exploration,Ensures the preservation and adaptation of religious practices for off-Earth communities,Religious institutions; Educational organizations; Media,Theologian; Clergy,World Council of Churches standards; Vatican Canon Law,High,Religious texts; Theological research,4/27/2024,,Academic,religious epistemology,Western Christianity,Biblical Canon,Yes
theoretical-physics,Theoretical Physics,Current Knowledge,Natural Sciences,Quantum Mechanics; String Theory; Cosmology,Yes,IUPAP Theoretical Physics Standards; APS Guidelines,-1900,Modern Era,Mathematics; Philosophy,Astrophysics; Computer Science,Theoretical physics synergizes with mathematics and computer science to develop models that explain the fundamental nature of the universe.,"From classical theories to modern quantum and cosmological models, theoretical physics seeks to understand the underlying principles of reality.","{\mathematics\"": [\""philosophy\""]"," \""astrophysics\"": [\""computer-science\""]}""",Ancient Greek natural philosophy; Traditional Chinese cosmological concepts,Philosophical and mathematical traditions of Indigenous cultures,Abstract; Deductive,"Theoretical physics practices vary globally, influenced by regional scientific traditions and collaborative research efforts.",Quantum computing simulations; Advanced mathematical modeling tools,Essential for simulating space environments and understanding cosmic phenomena,Provides foundational theories and models for off-Earth exploration and infrastructure,Research institutions; Academic organizations; Space agencies,Theoretical physicist; Computational scientist,IUPAP standards; APS guidelines,High,Theoretical research papers; Mathematical models,4/27/2024,,Academic Research,Empiricism,Scientific Community,Quantum Field Theory,No
traditional-chinese-medicine,Traditional Chinese Medicine,Current Knowledge,Traditional Knowledge,Herbal Medicine; Acupuncture; Tai Chi,Partially,TCM Standards; WHO Traditional Medicine Guidelines,-2000,Ancient Era,Anatomy; Physiology,Pharmacology; Rehabilitation,Traditional Chinese Medicine integrates holistic practices with modern health sciences to promote well-being.,"Evolving from ancient holistic approaches, TCM incorporates modern research to validate and enhance traditional practices.","{\anatomy\"": [\""physiology\""]"," \""pharmacology\"": [\""herbal-medicine\""]}""",Ancient Chinese medical texts; Taoist health practices,Traditional healing practices and herbal knowledge of Indigenous communities,Holistic; Preventative,"TCM practices vary regionally, incorporating local herbs and techniques influenced by cultural beliefs.",Herbal pharmacology; Acupuncture technology,Supports health and wellness programs for space travelers,Provides sustainable and holistic health solutions for off-Earth colonies,Healthcare; Wellness industry; Research institutions,TCM practitioner; Acupuncturist,WHO Traditional Medicine standards,Medium,Traditional medical texts; Clinical studies,4/27/2024,,Healthcare,"Holistic health and balance, Yin and Yang, Five Elements Theory, Qi, Meridians, and Zang-Fu Theory",East Asian Healing Practices,ISO 18668,Yes
urban-planning,Urban Planning,Current Knowledge,Applied Sciences,City Design; Sustainable Development; Transportation Planning,Yes,International Planning Standards; LEED Urban Planning Guidelines,-500,Modern Era,Civil Engineering; Environmental Science,Architecture; Sociology,Urban planning synergizes with architecture and environmental science to design sustainable and functional urban environments.,"From ancient city layouts to modern smart cities, urban planning evolves to address population growth, sustainability, and quality of life.","{\civil-engineering\"": [\""environmental-science\""]"," \""architecture\"": [\""sociology\""]}""",Ancient Roman city planning; Indigenous sustainable land use,Traditional urban organization and sustainable practices of Indigenous communities,Systematic; Sustainable,"Urban planning practices vary globally, influenced by regional development needs and cultural values.",Smart city technologies; Sustainable infrastructure solutions,Essential for designing and managing space habitats and extraterrestrial colonies,Provides sustainable and efficient urban environments for off-Earth living,Urban planning firms; Government agencies; Environmental organizations,Urban planner; Transportation planner,International planning standards; LEED urban planning guidelines,High,Urban development plans; Sustainability reports,4/27/2024,,Infrastructure,"Interdisciplinary, empirical research, spatial analysis, public consultation, sustainable development, urban design principles, land use policies",Historical Architectural Conservation,Zoning Regulations,Yes/No
veterinary-science,Veterinary Science,Current Knowledge,Applied Sciences,Animal Health; Veterinary Surgery; Animal Nutrition,Yes,AVMA Standards; OIE Guidelines,-4500,Modern Era,Biology; Medicine,Animal Science; Public Health,Veterinary science collaborates with medicine and public health to ensure animal and human well-being.,"From early domestication and animal care to advanced veterinary medicine and zoonotic disease control, the field advances animal health and its intersection with human health.","{\biology\"": [\""medicine\""]"," \""public-health\"": [\""animal-science\""]}""",Traditional animal husbandry practices; Indigenous veterinary knowledge,Herbal and traditional animal treatments of Indigenous communities,Biomedical; Preventative,"Veterinary practices vary globally, influenced by local animal species and cultural attitudes towards animals.",Advanced diagnostic tools; Telemedicine for animals,Essential for maintaining animal health and supporting ecosystems in space missions,Ensures the health and sustainability of animal populations for off-Earth environments,Veterinary clinics; Research institutions; Animal conservation organizations,Veterinarian; Veterinary technician,AVMA standards; OIE guidelines,High,Clinical records; Veterinary research,4/27/2024,,Academic/Education,"Empirical observation, experimentation, and scientific methodology",Animal Health Practices in Different Cultures,International Classification of Diseases for Veterinary Medicine,Yes
film_television,Film & Television,1900-Present,Entertainment,"Screenwriting, Directing, Cinematography, Editing, Sound Design, Production Design, Acting, Film Theory, Television Production, Broadcast Journalism, Animation, Visual Effects, Film Criticism, Film History, Television Studies","Comprehensive coverage of genres, production processes, critical theories, historical periods, technological advancements, cultural impacts, and industry practices in film and television.","Comprehensive information about various genres of films and television shows, historical development of film and television industry, notable works and their impact on culture, key figures in film and television production, technical aspects of film and television creation, distribution and consumption patterns, and critical theories and analytical methods related to film and television",1890,Modern Era,"Screenwriting, Directing, Cinematography, Film Production, Film Editing, Sound Design, Visual Effects, Acting, Television Production, Broadcasting, Film Distribution, Film Criticism, Film History, Television History, Media Studies","Crossovers, spin-offs, shared universes, sequels, prequels, adaptations, remakes, reboots","Collaborations between directors and actors, Co-productions between different film studios, Cross-overs between different TV series, Partnerships between streaming platforms and production companies",Advancement from Silent Films to Streaming Platforms,"{
  ""film_television"": {
    ""dependencies"": [
      ""performing_arts"",
      ""visual_arts"",
      ""literature"",
      ""technology"",
      ""history_culture"",
      ""business_economics""
    ]
  }
}","Influence of Asian, African, and Middle Eastern Cinematic Traditions",Representation of Indigenous Cultures in Media,Representation of Minority Cultures in Media,"Regional adaptations, Language dubbing, Subtitle variations, Censorship differences, Genre preferences by country, Local celebrity influence, Traditional and cultural themes in content, Broadcasting regulations by country, Cultural humor variations, Holiday programming variations","Digital cinematography, CGI, 3D technology, streaming platforms, virtual reality in filmmaking, high-definition television, drone camera technology, motion capture technology, IMAX technology, Dolby Atmos sound technology.","Analysis of interstellar travel, portrayal of extraterrestrial life, impact on space technology advancements, influence on public interest in space exploration","Survival resources, communication systems, cultural preservation, technological advancement, interstellar travel capabilities","TV studios, Film production companies, Streaming platforms, Film archives, Cinemas, Television networks","Scriptwriting, Directing, Producing, Cinematography, Editing, Sound Design, Casting, Production Design, Costume Design, Makeup and Hairstyling, Television Broadcasting, Film Distribution","MPAA Rating System, Broadcast Standards and Practices, SMPTE Standards, Cinematic Aspect Ratios, 4K/8K UHD Standards",High,IMDb Database,3/1/2022,Film Title,clapperboard,Pop Culture & Media,Cultural / Social / Informal,High,Low,TRUE
music_genres,Music Genres,,Arts and Entertainment,,,,,,,,,,"{
  ""music_genres"": {
    ""depends_on"": [""music_history"", ""music_theory"", ""cultural_studies""],
    ""used_by"": [""music_production"", ""music_criticism"", ""music_education""]
  }
}",,,,,,,,,,,,,,,,Pop Culture & Media,Cultural / Social / Informal,High,Low,TRUE
celebrity_culture,Celebrity Culture,Late 19th Century - Present,Sociology,"Pop Culture Studies, Media Studies, Sociology, Psychology, Fashion and Style, Entertainment Industry, Public Relations, Social Media Trends, Celebrity Branding, Film and Television Studies","Overview of celebrity culture, its history, impact on society, influence on fashion and lifestyle, role in media, celebrity endorsements, fan culture, celebrity privacy issues, and the psychology of celebrity worship.","Celebrity culture refers to the high societal value placed on individuals who have achieved a certain level of fame or public recognition, primarily through the entertainment industry such as film, television, music, or sports. This culture is characterized by a public's fascination with celebrity lives, their fashion, relationships, and scandals",1920,Late 20th Century to Present,"Pop Culture, Media Influence, Social Media, Public Relations, Fashion Industry, Film Industry, Music Industry, Television Industry, Advertising, Marketing, Journalism, Psychology, Sociology","Pop Culture, Media Influence, Fashion Industry, Social Media, Public Relations, Film Industry, Music Industry, Advertising, Fan Culture, Reality Television, Celebrity Endorsements, Celebrity Gossip, Lifestyle Trends, Social Trends, Celebrity Scandals","Pop Culture, Media Industry, Fashion Industry, Social Media Platforms, Public Relations, Advertising Industry, Film Industry, Music Industry, Sports Industry, Fan Communities","Ancient royal fascination, rise of Hollywood, television and pop culture expansion, social media and reality TV influence, digital media and influencer era","{
  ""celebrity_culture"": {
    ""depends_on"": [""mass_media"", ""popular_culture"", ""fashion_and_style"", ""film_and_television"", ""music"", ""social_media""],
    ""influences"": [""consumer_behavior"", ""trends_and_fads"", ""public_opinion"", ""marketing_and_advertising""]
  }
}",Bollywood and Nollywood fandom culture,Limited,Fan-based Knowledge Creation,"Western (USA, UK), Eastern (South Korea, Japan), Latin American, Middle Eastern, African",Social Media Platforms,Influence on public interest and perception towards space exploration,Understanding Historical and Contemporary Societal Trends,"Reality TV shows, Social Media platforms, Celebrity magazines, Hollywood film industry, Celebrity endorsements in advertising, Celebrity fashion lines, Celebrity gossip websites, Award ceremonies like the Oscars and Grammys.","Public Relations Management, Personal Branding, Media Engagement, Image Consulting","Popularity Metrics, Public Relations Strategies, Media Representation Guidelines, Privacy and Publicity Ethics",High,People Magazine,3/14/2022,Influence on Consumer Behavior,star,Pop Culture & Media,Cultural / Social / Informal,High,Low,TRUE
internet_memes,Internet Memes,1990s - Present,Digital Culture,"Digital Culture, Social Media Communication, Popular Culture Studies, Internet Anthropology, Visual Communication, Cyberpsychology","Comprehensive coverage of popular, historical, and emerging internet memes, their origin, context, cultural impact, associated platforms, and notable variations.","Internet memes are cultural artifacts, typically in the form of images, videos, or text, that are shared, modified, and spread rapidly by Internet users. They often embody contemporary cultural symbols or social ideas, and their propagation primarily relies on social media platforms. Internet memes can be a form of entertainment,",1982,Digital Age,"Internet Culture, Social Media Platforms, Popular Culture, Digital Media Production, Viral Trends, User-generated Content, Internet Slang, Graphic Design","Popular culture, social media platforms, viral content, humor and satire, internet subcultures, digital communication, user-generated content, meme creators, meme communities, trending topics, internet slang, image macros, reaction images, internet phenomena.","Social Media Platforms, Viral Marketing, Internet Culture, Digital Communication, Content Creation, User-Generated Content, Pop Culture, Humor and Satire, Online Communities","Creation, Viral Spread, Modification and Variation, Saturation, Decline","[""pop_culture"", ""internet_culture"", ""social_media"", ""digital_media"", ""humor"", ""viral_content""]",Limited,No,"Digital Folklore, Viral Content Analysis, Meme Theory, Participatory Culture Studies","Global adaptations, regional interpretations, language-specific versions, meme formats variations by country",Meme Generator Platforms,Limited,Understanding and Analysis of Cultural Phenomena,"Pepe the Frog in Hong Kong Protests, Doge on Dogecoin, ""This is fine"" in corporate presentations, ""Distracted Boyfriend"" in marketing campaigns, ""Dank Memes"" merchandise, ""Nyan Cat"" in video games, ""Rickrolling"" in online","Content creation and sharing, Meme marketing, Copyright considerations","Meme Generator APIs, Meme Formats, Social Media Sharing Standards",high,Know Your Meme Database,3/1/2022,Definition,laughing_emoji_icon,Pop Culture & Media,Cultural / Social / Informal,High,Low,TRUE
video_games,Video Games,1980s - Present,Entertainment,"Game Design, Game Development, Game Theory, Computer Graphics, Interactive Storytelling, Artificial Intelligence in Gaming, Virtual Reality, Augmented Reality, Game Testing, Sound Design for Video Games, Video Game Marketing, Video Game Journalism, Video Game Legislation and Rating Systems, Player Behavior Analysis, Esports Management","Game Design, Game Development, Game Genres, Game Mechanics, Game Platforms, Game History, Game Theory, Game Art, Game Sound, Game Narrative, Game Testing, Game Marketing, Esports, Game Studies, Game Accessibility, Game Culture, Game Ethics, Virtual Reality Games, Augmented Reality Games","Video game design principles, game development methodologies, game genres and sub-genres, video game history, game platforms and technologies, game art and aesthetics, game narrative and storytelling, game mechanics and dynamics, game monetization models, game industry trends and market analysis, game testing and quality assurance, game localization",1958,Digital Age,"Hardware (Console/PC), Software (Game Engine), Internet Connectivity, Power Supply","Cross-platform play, Multiplayer mode, Game Genres, Gaming Consoles, Game Developers, Virtual Reality Compatibility, In-game purchases, Storyline and Characters, Sequels and Prequels, Downloadable Content (DLC)","Game developers and game publishers, Multiplayer mode and online connectivity, Video game consoles and game software, Game design and game mechanics, Player communities and eSports events, Virtual reality technology and immersive games, Video games and pop culture merchandise.","From Arcade to PC gaming, Console gaming, Online gaming, Mobile gaming, Virtual Reality gaming","{
  ""video_games"": {
    ""dependencies"": {
      ""computer_science"": {
        ""reason"": ""Video games are developed using principles and techniques from computer science.""
      },
      ""art"": {
        ""reason"": ""The visual design of video games often involves artistic skills and principles.""
      },
      ""music"": {
        ""reason"": ""Music and sound design play key roles in the gaming experience.""
      },
      ""storytelling"": {
        ""reason"": ""Many",Japanese Role-Playing Games (JRPG),Representation of Indigenous Cultures in Video Games,Interactive Digital Entertainment,"Regional differences in content and censorship, Localization and translation variations, Different console popularity by region, Cultural references and humor adaptation, Art and character design influences, Genre preferences by region, Game settings and themes inspired by local cultures","Virtual Reality (VR) Gaming, Augmented Reality (AR) Gaming, Cloud-based Streaming, Artificial Intelligence in Gaming, High-Definition Graphics, Haptic Technology, Facial Recognition, Voice Recognition","Potential for interstellar navigation, understanding of alien cultures, development of resource management skills, and fostering strategic thinking.",Resource Management Strategies,"Virtual Reality Gaming, Augmented Reality Gaming, eSports Tournaments, Game-based Learning in Education, Military Training Simulations, Physical Rehabilitation Programs, AI Development and Training",Esports Competitions,"ESRB Ratings, PEGI Ratings, CERO Ratings, IEEE 802.11 (Wi-Fi), HDMI, USB, Bluetooth, DirectX, Vulkan, OpenGL, Cross-platform play, Game Engines (Unity, Unreal Engine), Online Multiplayer Standards (Xbox Live, PlayStation Network), VR Standards",High,IGN Game Reviews,3/1/2022,Game Title,gamepad,Pop Culture & Media,Cultural / Social / Informal,High,Low,TRUE
streaming_platforms,Streaming Platforms,,Entertainment & Technology,,,,,,,,,,"{
  ""streaming_platforms"": {
    ""depends_on"": [""internet_technology"", ""digital_media"", ""subscription_models""],
    ""used_by"": [""entertainment_industry"", ""advertising_industry"", ""consumers""],
    ""related_to"": [""video_on_demand"", ""music_streaming"", ""live_streaming""]
  }
}",,,,,,,,,,,,,,,,Pop Culture & Media,Cultural / Social / Informal,High,Low,TRUE
fandom_fan_fiction,Fandom & Fan Fiction,,Arts & Entertainment,,,,,,,,,,"{
  ""fandom_fan_fiction"": {
    ""depends_on"": [""literature"", ""pop_culture"", ""media_studies"", ""internet_culture""],
    ""influences"": [""internet_culture"", ""media_production"", ""cultural_studies""],
    ""related_to"": [""cosplay"", ""role_playing_games"", ""social_media""]
  }
}",,,,,,,,,,,,,,,,Pop Culture & Media,Cultural / Social / Informal,High,Low,TRUE
influencer_dynamics,Influencer Dynamics,,Social Media and Marketing,,,,,,,,,,"{
  ""nodes"": [
    {
      ""id"": ""influencer_dynamics"",
      ""label"": ""Influencer Dynamics"",
      ""dependencies"": [
        {
          ""id"": ""social_media_platforms"",
          ""label"": ""Social Media Platforms""
        },
        {
          ""id"": ""content_creation"",
          ""label"": ""Content Creation""
        },
        {
          ""id"": ""audience_analysis"",
          ""label"": ""Audience Analysis""
        },",,,,,,,,,,,,,,,,Pop Culture & Media,Cultural / Social / Informal,High,Low,TRUE
political_ideologies,Political Ideologies,Historical to Present,Politics,"Democracy, Socialism, Communism, Fascism, Liberalism, Conservatism, Anarchism, Nationalism, Feminism, Environmentalism, Capitalism, Libertarianism, Monarchism, Totalitarianism, Populism, Progressivism, Secularism, Theocracy, Author","Liberalism, Conservatism, Socialism, Communism, Fascism, Anarchism, Nationalism, Feminism, Environmentalism, Libertarianism","Political ideologies encompass a wide range of doctrines, beliefs, and ideals that shape the political landscape and influence the structure and operation of governments. This includes ideologies such as liberalism, conservatism, socialism, communism, anarchism, fascism, nationalism, and many others. Each ideology has its own unique set of principles",-500,Modern History,"Political theories, Historical context, Socioeconomic factors, Cultural factors, Political parties, Government systems, Political leaders, Social movements","Liberalism, Conservatism, Socialism, Fascism, Communism, Anarchism, Nationalism, Feminism, Environmentalism, Libertarianism","Liberalism, Conservatism, Socialism, Libertarianism, Nationalism, Fascism, Communism, Anarchism, Capitalism, Environmentalism, Feminism, Populism","Liberalism, Conservatism, Socialism, Fascism, Anarchism, Communism, Nationalism, Feminism, Environmentalism, Libertarianism","{
  ""nodes"": [
    {
      ""id"": ""political_ideologies"",
      ""label"": ""Political Ideologies"",
      ""type"": ""knowledge_field""
    },
    {
      ""id"": ""political_theory"",
      ""label"": ""Political Theory"",
      ""type"": ""knowledge_field""
    },
    {
      ""id"": ""political_history"",
      ""label"": ""Political History"",
      ""type"": ""knowledge_field""
    },
    {
      ""id"":","Confucianism, Hindu political philosophy, Islamic political philosophy, African political thought",Influence on local governance and policy-making,"Marxism, Anarchism, Feminism, Postcolonialism, Environmentalism","Liberalism, Conservatism, Socialism, Fascism, Anarchism, Communism, Nationalism, Feminism, Environmentalism, Libertarianism",Impact on policy and governance,"Varies based on individual ideology's stance towards scientific advancement, resource allocation, and international cooperation",Understanding and respecting diverse political ideologies,"Communism (Soviet Union, China), Democracy (United States, India), Fascism (Nazi Germany, Fascist Italy), Monarchy (Saudi Arabia, United Kingdom), Socialism (Cuba, Venezuela)",Analysis and interpretation of political theories and policies,"Manifestos, Constitutions, Political Party Platforms",High,Stanford Encyclopedia of Philosophy,3/1/2022,Liberalism,government_building,Politics & Government,Cultural / Social / Informal,High,Low,TRUE
public_policy,Public Policy,,Social Sciences,,,,,,,,,,"{
  ""public_policy"": {
    ""dependencies"": [
      ""political_science"",
      ""economics"",
      ""sociology"",
      ""law"",
      ""ethics"",
      ""environmental_science"",
      ""public_administration"",
      ""international_relations""
    ]
  }
}",,,,,,,,,,,,,,,,Politics & Government,Cultural / Social / Informal,High,Low,TRUE
electoral_systems,Electoral Systems,Contemporary,Politics,"Politics, Governance, Sociology, Law","Voting methods, Election procedures, Types of electoral systems, Electoral system reforms, Impact of electoral systems on political parties, Comparative electoral systems, Electoral system design, Electoral system and democratic representation.","Electoral systems encompass the rules and procedures by which voters express a choice in an election, and how votes are counted and translated into seats in a legislature or other positions of power. They include plurality/majority systems, proportional representation systems, mixed systems, and others. The study of electoral systems covers",1788,Modern Era,"Political Science, Government Structure, Voting Behavior, Democracy, Legislation, Sociology","Voting methods, Political parties, Government structures, Democracy, Voter behavior, Election laws, Constituencies, Political campaigns, Ballot design","Proportional representation, Plurality voting system, Mixed electoral system, Direct democracy, Indirect democracy, Referendums, Voting methods, Political campaigns, Political parties, Election law, Voter registration, Election commission",From Plurality Systems to Proportional Representation Systems,"{
  ""electoral_systems"": {
    ""depends_on"": [""political_science"", ""government"", ""democracy"", ""voting""],
    ""depended_on_by"": [""election_campaigns"", ""voter_behavior"", ""political_parties"", ""government_formations""]
  }
}","Non-Western electoral systems such as Indian Panchayat Raj, Indonesian Pancasila, and African Traditional Consensus Systems",Traditional voting methods and community decision-making processes,Comparative Electoral Systems Studies,"Variations in voting methods, influence of local customs on electoral process, cultural impact on voter turnout, cultural bias in electoral systems","Electronic voting machines, Online voting platforms, Biometric voter registration systems",,Understanding and Implementing Fair Voting Mechanisms,"United States Presidential Elections, United Kingdom General Elections, Australian Federal Elections, Indian Lok Sabha Elections, Canadian Federal Elections, French Presidential Elections, German Federal Elections, Brazilian Presidential Elections, South African General Elections, Japanese General Elections",Implementation of voting procedures,"Universal Declaration on Democracy, International IDEA's Electoral Standards",High,International Institute for Democracy and Electoral Assistance (IDEA) Database,3/22/2022,Proportional Representation,vote,Politics & Government,Cultural / Social / Informal,High,Low,TRUE
civil_rights,Civil Rights,,Law & Politics,,,,,,,,,,"{
  ""civil_rights"": {
    ""dependencies"": [
      ""constitutional_law"",
      ""political_science"",
      ""history"",
      ""sociology"",
      ""human_rights"",
      ""law_enforcement"",
      ""public_policy""
    ]
  }
}",,,,,,,,,,,,,,,,Politics & Government,Cultural / Social / Informal,High,Low,TRUE
global_politics,Global Politics,,Social Sciences,,,,,,,,,,"{
  ""global_politics"": {
    ""depends_on"": [""international_relations"", ""political_science"", ""economics"", ""history"", ""sociology"", ""law"", ""geography""],
    ""used_by"": [""international_business"", ""diplomacy"", ""human_rights"", ""environmental_policy"", ""security_studies""]
  }
}",,,,,,,,,,,,,,,,Politics & Government,Cultural / Social / Informal,High,Low,TRUE
legislative_processes,Legislative Processes,Annual legislative cycle,Politics,"Lawmaking, Policy Analysis, Public Administration, Constitutional Law, Political Science","National and International Legislation Creation, Amendment, and Abolishment Procedures","Legislative processes refer to the procedures and methods used by legislative bodies such as parliaments or congresses to create, amend, or repeal laws. This includes stages like drafting, committee review, voting, and ratification. It also involves understanding legislative rules, roles of various legislative officers, public",507 BC,Modern Era,"Policy Development, Legal Frameworks, Government Structures, Political Science, Public Administration","Policy Making, Judiciary Processes, Executive Actions, Public Administration, Political Science, Constitutional Law, Civil Rights, International Law, Election Procedures","Policy Formulation, Executive Branch, Judicial Review, Constituent Input, Lobbying Activities","Development from Roman Republic, British Parliament to Modern Democratic Systems","{
  ""legislative_processes"": {
    ""depends_on"": [""political_science"", ""public_administration"", ""constitutional_law""],
    ""influences"": [""policy_making"", ""public_governance"", ""judicial_processes""],
    ""related_to"": [""elections"", ""political_parties"", ""public_policy""]
  }
}",Non-Western Legislative Systems,Involvement of Indigenous Peoples in Legislative Processes,Comparative Legislative Studies,"Variations in parliamentary systems, bicameral vs unicameral legislatures, different voting systems, influence of traditional customs on legislation, varying levels of public participation",Implementation of AI in Bill Tracking and Analysis,"Potential changes in space law and policy, impact on space-related legislation",Understanding and Implementing Laws for Sustainable Living and Resource Management,"United States Congress, UK Parliament, German Bundestag, French National Assembly, Indian Parliament, Japanese Diet, Australian Parliament","Drafting, reviewing, and amending legislation",Parliamentary Procedures,High,U.S. Library of Congress,3/22/2022,Bill Drafting,📜,Politics & Government,Cultural / Social / Informal,High,Low,TRUE
law_judiciary,Law & Judiciary,,Social Sciences,,,,,,,,,,"{
  ""law_judiciary"": {
    ""depends_on"": [""political_science"", ""history"", ""philosophy"", ""sociology""],
    ""depended_by"": [""criminal_justice"", ""public_policy"", ""business_law"", ""international_relations""]
  }
}",,,,,,,,,,,,,,,,Politics & Government,Cultural / Social / Informal,High,Low,TRUE
